term,sessionPeriod,sessionTimes,meetingTimes,billNo,billName,billOrg,billProposer,billCosignatory,billStatus,pdfUrl,docUrl,selectTerm,X,file_name,changed_ratio
9,2,3,NA,1.05092E+15,「臺灣地區與大陸地區人民關係條例第九條條文修正草案」，請審議案。,本院委員李俊俋等23人,李俊俋,Kolas Yotaka　　　　 吳焜裕　　吳思瑤　　賴瑞隆　　 江永昌　　邱議瑩　　李昆澤　　呂孫綾　　陳曼麗　　王榮璋　　蔡易餘　　洪宗熠　　段宜康　　蘇巧慧　　余宛如　　蘇治芬　　張廖萬堅　高志鵬　　李麗芬　　蔡適應　　蕭美琴　　劉世芳　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/03/LCEWA01_090203_00028.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/03/LCEWA01_090203_00028.doc,902,NA,LCEWA01_090203_00028,1.841359773
9,2,7,NA,1.05101E+15,「商業團體法第二十三條條文修正草案」，請審議案。,本院委員王惠美等17人,王惠美　　 ,黃昭順　　廖國棟　　柯志恩　　陳宜民　　王育敏　　林為洲　　林麗蟬　　馬文君　　張麗善　　許淑華　　許毓仁　　曾銘宗　　蔣乃辛　　鄭天財　　簡東明　　羅明才　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/07/LCEWA01_090207_00025.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/07/LCEWA01_090207_00025.doc,902,NA,LCEWA01_090207_00025,1.923076923
9,2,6,NA,1.051E+15,「大眾捷運法第七條條文修正草案」，請審議案。,本院委員葉宜津等17人,葉宜津　　 ,呂孫綾　　施義芳　　江永昌　　周春米　　鄭運鵬　　黃國書　　吳琪銘　　吳思瑤　　林淑芬　　吳玉琴　　陳賴素美　蘇巧慧　　劉建國　　鍾佳濱　　黃秀芳　　鍾孔炤　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/06/LCEWA01_090206_00047.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/06/LCEWA01_090206_00047.doc,902,NA,LCEWA01_090206_00047,1.935483871
9,2,9,NA,1.05102E+15,「道路交通管理處罰條例第三十五條條文修正草案」，請審議案。,本院委員李鴻鈞等17人,李鴻鈞　　周陳秀霞　林俊憲　　 ,陳學聖　　徐志榮　　林麗蟬　　林德福　　曾銘宗　　鄭天財　　陳怡潔　　蔣乃辛　　蔣萬安　　黃昭順　　柯志恩　　簡東明　　趙正宇　　羅明才　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/09/LCEWA01_090209_00007.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/09/LCEWA01_090209_00007.doc,902,NA,LCEWA01_090209_00007,1.966292135
9,2,9,NA,1.05103E+15,「電信法第五十五條及第六十條條文修正草案」，請審議案。,本院委員趙正宇等16人,趙正宇　　 ,鄭寶清　　蔡易餘　　陳亭妃　　葉宜津　　陳雪生　　劉櫂豪　　郭正亮　　陳素月　　周春米　　林俊憲　　吳焜裕　　蔡適應　　李彥秀　　李鴻鈞　　鄭天財　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/09/LCEWA01_090209_00059.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/09/LCEWA01_090209_00059.doc,902,NA,LCEWA01_090209_00059,2.066115702
9,2,7,NA,1.05101E+15,「所得稅法第十七條條文修正草案」，請審議案。,本院委員趙天麟等18人,趙天麟　　呂孫綾　　莊瑞雄　　 ,陳　瑩　　姚文智　　Kolas Yotaka 　　　　蘇震清　　黃國書　　洪宗熠　　賴瑞隆　　許智傑　　羅致政　　段宜康　　葉宜津　　鄭寶清　　鄭運鵬　　江永昌　　蔡易餘　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/07/LCEWA01_090207_00011.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/07/LCEWA01_090207_00011.doc,902,NA,LCEWA01_090207_00011,2.259590121
9,2,6,NA,1.051E+15,「內政部組織法第十八條條文修正草案」，請審議案。,本院委員段宜康等16人,段宜康　　 ,陳　瑩　　何欣純　　黃國書　　陳曼麗　　江永昌　　李昆澤　　李俊俋　　陳賴素美　尤美女　　劉建國　　蔡易餘　　吳琪銘　　陳素月　　蘇巧慧　　林靜儀　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/06/LCEWA01_090206_00041.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/06/LCEWA01_090206_00041.doc,902,NA,LCEWA01_090206_00041,2.380952381
9,2,10,NA,1.05111E+15,「中央行政機關組織基準法第二十九條、第三十條及第三十一條條文修正草案」，請審議案。,本院委員賴瑞隆等16人,賴瑞隆　　 ,劉建國　　陳賴素美　黃國書　　邱泰源　　施義芳　　蘇巧慧　　洪宗熠　　林俊憲　　邱議瑩　　張宏陸　　呂孫綾　　吳玉琴　　邱志偉　　江永昌　　陳明文　　,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/10/LCEWA01_090210_00047.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/10/LCEWA01_090210_00047.doc,902,NA,LCEWA01_090210_00047,2.413793103
9,2,5,NA,1.05093E+15,「勞工保險條例第六條條文修正草案」，請審議案。,本院委員蔡易餘等16人,蔡易餘,徐國勇　　李俊俋　　段宜康　　施義芳　　許智傑　　余宛如　　吳焜裕　　黃偉哲　　林俊憲　　林靜儀　　Kolas Yotaka         張宏陸　　鍾孔炤　　張廖萬堅　陳明文　　　　　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/05/LCEWA01_090205_00020.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/05/LCEWA01_090205_00020.doc,902,NA,LCEWA01_090205_00020,2.601156069
9,2,6,NA,1.05093E+15,「勞工保險條例第六條條文修正草案」，請審議案。,本院委員蔡易餘等16人,蔡易餘,徐國勇　　李俊俋　　段宜康　　施義芳　　許智傑　　余宛如　　吳焜裕　　黃偉哲　　林俊憲　　林靜儀　　Kolas Yotaka         張宏陸　　鍾孔炤　　張廖萬堅　陳明文　　　　　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/05/LCEWA01_090205_00020.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/05/LCEWA01_090205_00020.doc,902,NA,LCEWA01_090205_00020,2.601156069
9,2,7,NA,1.05093E+15,「勞工保險條例第六條條文修正草案」，請審議案。,本院委員蔡易餘等16人,蔡易餘,徐國勇　　李俊俋　　段宜康　　施義芳　　許智傑　　余宛如　　吳焜裕　　黃偉哲　　林俊憲　　林靜儀　　Kolas Yotaka         張宏陸　　鍾孔炤　　張廖萬堅　陳明文　　　　　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/05/LCEWA01_090205_00020.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/05/LCEWA01_090205_00020.doc,902,NA,LCEWA01_090205_00020,2.601156069
9,2,8,NA,1.05093E+15,「勞工保險條例第六條條文修正草案」，請審議案。,本院委員蔡易餘等16人,蔡易餘,徐國勇　　李俊俋　　段宜康　　施義芳　　許智傑　　余宛如　　吳焜裕　　黃偉哲　　林俊憲　　林靜儀　　Kolas Yotaka         張宏陸　　鍾孔炤　　張廖萬堅　陳明文　　　　　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/05/LCEWA01_090205_00020.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/05/LCEWA01_090205_00020.doc,902,NA,LCEWA01_090205_00020,2.601156069
9,2,10,NA,1.05093E+15,「勞工保險條例第六條條文修正草案」，請審議案。,本院委員蔡易餘等16人,蔡易餘,徐國勇　　李俊俋　　段宜康　　施義芳　　許智傑　　余宛如　　吳焜裕　　黃偉哲　　林俊憲　　林靜儀　　Kolas Yotaka         張宏陸　　鍾孔炤　　張廖萬堅　陳明文　　　　　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/05/LCEWA01_090205_00020.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/05/LCEWA01_090205_00020.doc,902,NA,LCEWA01_090205_00020,2.601156069
9,2,6,NA,1.051E+15,「保全業法第十條之一條文修正草案」案。,行政院,,,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/06/LCEWA01_090206_00073.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/06/LCEWA01_090206_00073.doc,902,NA,LCEWA01_090206_00073,2.620967742
9,2,8,NA,1.05102E+15,「刑事訴訟法第二百五十二條及第三百零二條條文修正草案」，請審議案。,本院委員蔡易餘等19人,蔡易餘　　　　　　　　　　　　 ,施義芳　　陳明文　　莊瑞雄　　鄭運鵬　　黃國書　　陳曼麗　　吳焜裕　　李麗芬　　黃秀芳　　鍾佳濱　　鄭寶清　　王定宇　　蔡適應　　陳賴素美　林俊憲　　洪宗熠　　鍾孔炤　　何欣純　　　　　　　　　　　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/08/LCEWA01_090208_00015.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/08/LCEWA01_090208_00015.doc,902,NA,LCEWA01_090208_00015,2.643171806
9,2,10,NA,1.05102E+15,「刑事訴訟法第二百五十二條及第三百零二條條文修正草案」，請審議案。,本院委員蔡易餘等19人,蔡易餘　　　　　　　　　　　　 ,施義芳　　陳明文　　莊瑞雄　　鄭運鵬　　黃國書　　陳曼麗　　吳焜裕　　李麗芬　　黃秀芳　　鍾佳濱　　鄭寶清　　王定宇　　蔡適應　　陳賴素美　林俊憲　　洪宗熠　　鍾孔炤　　何欣純　　　　　　　　　　　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/08/LCEWA01_090208_00015.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/08/LCEWA01_090208_00015.doc,902,NA,LCEWA01_090208_00015,2.643171806
9,2,10,NA,1.0511E+15,「公路法第六十三條條文修正草案」，請審議案。,本院委員賴瑞隆等17人,賴瑞隆　　江永昌　　 ,劉建國　　洪宗熠　　邱泰源　　吳焜裕　　鄭運鵬　　吳玉琴　　陳賴素美　施義芳　　邱議瑩　　林俊憲　　蘇巧慧　　呂孫綾　　張宏陸　　黃國書　　邱志偉　　,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/10/LCEWA01_090210_00043.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/10/LCEWA01_090210_00043.doc,902,NA,LCEWA01_090210_00043,3.066037736
9,2,6,NA,1.051E+15,「交通部組織法第二十條條文修正草案」，請審議案。,本院委員段宜康等16人,段宜康　　 ,陳　瑩　　何欣純　　黃國書　　陳曼麗　　陳素月　　李昆澤　　李俊俋　　陳賴素美　江永昌　　劉建國　　蔡易餘　　吳琪銘　　尤美女　　蘇巧慧　　林靜儀　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/06/LCEWA01_090206_00042.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/06/LCEWA01_090206_00042.doc,902,NA,LCEWA01_090206_00042,3.225806452
9,2,6,NA,1.051E+15,「經濟部組織法第二十四條條文修正草案」，請審議案。,本院委員段宜康等16人,段宜康　　 ,陳　瑩　　何欣純　　黃國書　　陳曼麗　　江永昌　　李昆澤　　李俊俋　　陳賴素美　尤美女　　劉建國　　陳素月　　蘇巧慧　　蔡易餘　　吳琪銘　　林靜儀　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/06/LCEWA01_090206_00043.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/06/LCEWA01_090206_00043.doc,902,NA,LCEWA01_090206_00043,3.333333333
9,2,3,NA,1.05091E+15,「家事事件法第一百三十條條文修正草案」，請審議案。,本院委員鄭運鵬等18人,鄭運鵬,吳思瑤　　蔡適應　　張廖萬堅　王榮璋　　陳曼麗 劉世芳　　林俊憲　　賴瑞隆　　張宏陸　　Kolas Yotaka 周春米　　吳玉琴　　李俊俋　　蔡易餘　　郭正亮　　蘇治芬　　李昆澤　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/03/LCEWA01_090203_00022.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/03/LCEWA01_090203_00022.doc,902,NA,LCEWA01_090203_00022,3.482587065
9,2,10,NA,1.0511E+15,「職業安全衛生法第三條條文修正草案」，請審議案。,本院委員吳焜裕等24人,吳焜裕　　 ,劉櫂豪　　吳玉琴　　陳曼麗　　陳賴素美　蔡易餘　　Kolas Yotaka　　　　 黃秀芳　　林靜儀　　蔡適應　　林俊憲　　賴瑞隆　　江永昌　　鍾孔炤　　陳其邁　　余宛如　　王榮璋　　洪宗熠　　蘇治芬　　葉宜津　　高志鵬　　李俊俋　　陳歐珀　　呂孫綾　　,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/10/LCEWA01_090210_00025.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/10/LCEWA01_090210_00025.doc,902,NA,LCEWA01_090210_00025,3.614457831
9,2,3,NA,1.05091E+15,「公路法第三十四條及第三十四條之一條文修正草案」，請審議案。,本院委員許毓仁等16人,許毓仁,王育敏　　張麗善　　蔣乃辛　　賴士葆　　徐志榮　　徐榛蔚　　林德福　　李彥秀　　林為洲　　曾銘宗　　吳志揚　　鄭天財　　柯志恩　　蔣萬安　　林麗蟬　　,撤案,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/03/LCEWA01_090203_00012.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/03/LCEWA01_090203_00012.doc,902,NA,LCEWA01_090203_00012,3.631284916
9,2,9,NA,1.05103E+15,「職業安全衛生法第三條及第二十九條條文修正草案」，請審議案。,本院委員王育敏等18人,王育敏　　羅明才　　蔣乃辛　　陳怡潔　　 ,李彥秀　　陳宜民　　蔣萬安　　林麗蟬　　林為洲　　林德福　　許淑華　　曾銘宗　　許毓仁　　楊鎮浯　　盧秀燕　　柯志恩　　黃昭順　　李鴻鈞　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/09/LCEWA01_090209_00058.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/09/LCEWA01_090209_00058.doc,902,NA,LCEWA01_090209_00058,3.66088632
9,2,5,NA,1.05093E+15,「所得稅法第十七條條文修正草案」，請審議案。,本院委員蔣乃辛等21人,蔣乃辛　　許毓仁　　 ,徐榛蔚　　鄭天財　　黃昭順　　柯志恩　　王育敏　　曾銘宗　　蔣萬安　　盧秀燕　　陳宜民　　王金平　　簡東明　　張麗善　　賴士葆　　李彥秀　　林德福　　林麗蟬　　楊鎮浯　　徐志榮　　陳學聖　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/05/LCEWA01_090205_00039.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/05/LCEWA01_090205_00039.doc,902,NA,LCEWA01_090205_00039,3.995793901
9,2,9,NA,1.05103E+15,「所得稅法刪除第十七條之三條文草案」，請審議案。,本院委員郭正亮等17人,郭正亮　　江永昌　　　　　　　　　　　　 ,張宏陸　　余宛如　　洪宗熠　　黃偉哲　　邱泰源　　鍾孔炤　　蔡易餘　　羅致政　　黃國書　　姚文智　　莊瑞雄　　陳其邁　　王定宇　　賴瑞隆　　施義芳　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/09/LCEWA01_090209_00029.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/09/LCEWA01_090209_00029.doc,902,NA,LCEWA01_090209_00029,4
9,2,3,NA,1.05091E+15,「證券交易法第四十三條之一條文修正草案」，請審議案。,本院委員賴士葆等21人,賴士葆,呂玉玲　　黃昭順　　吳志揚　　張麗善　　曾銘宗　　陳宜民　　廖國棟　　盧秀燕　　鄭天財　　陳雪生　　王育敏　　徐志榮　　李彥秀　　柯志恩　　楊鎮浯　　蔣乃辛　　林麗蟬　　蔣萬安　　徐榛蔚　　王惠美　　,審查完畢,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/03/LCEWA01_090203_00017.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/03/LCEWA01_090203_00017.doc,902,NA,LCEWA01_090203_00017,4.081632653
9,2,9,NA,1.05103E+15,「刑事訴訟法第一百八十二條條文修正草案」，請審議案。,本院委員柯志恩等21人,柯志恩　　蔣乃辛　　許毓仁　　 ,楊鎮浯　　張麗善　　陳雪生　　陳宜民　　曾銘宗　　鍾佳濱　　蔣萬安　　高金素梅　周陳秀霞　鄭天財　　林麗蟬　　徐志榮　　余宛如　　李鴻鈞　　林俊憲　　劉建國　　徐永明　　吳志揚　　　　　　　　　　　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/09/LCEWA01_090209_00050.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/09/LCEWA01_090209_00050.doc,902,NA,LCEWA01_090209_00050,4.081632653
9,2,5,NA,1.05093E+15,「陸海空軍軍官士官服役條例第三十二條條文修正草案」，請審議案。,本院委員蔡適應等18人,蔡適應　　張宏陸　　蘇震清　　 ,吳焜裕　　葉宜津　　邱志偉　　陳曼麗　　羅致政　　林昶佐　　呂孫綾　　陳亭妃　　鄭寶清　　林俊憲　　李俊俋　　尤美女　　蘇治芬　　陳明文　　陳怡潔　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/05/LCEWA01_090205_00026.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/05/LCEWA01_090205_00026.doc,902,NA,LCEWA01_090205_00026,4.240282686
9,2,10,NA,1.0511E+15,「運動產業發展條例第四條條文修正草案」，請審議案。,本院委員鄭寶清等16人,鄭寶清　　陳其邁　　李彥秀　　 ,蔡易餘　　劉櫂豪　　黃國書　　林俊憲　　鄭運鵬　　葉宜津　　陳歐珀　　趙正宇　　李昆澤　　呂孫綾　　陳賴素美　劉建國　　黃秀芳　　,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/10/LCEWA01_090210_00020.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/10/LCEWA01_090210_00020.doc,902,NA,LCEWA01_090210_00020,4.285714286
9,2,9,NA,1.05103E+15,「師資培育法第六條條文修正草案」，請審議案。,本院委員柯志恩等20人,柯志恩　　李彥秀　　陳學聖　　許毓仁　　劉建國　　 ,楊鎮浯　　陳雪生　　陳宜民　　張麗善　　林為洲　　曾銘宗　　蔣萬安　　高金素梅　鄭天財　　林麗蟬　　蔣乃辛　　林德福　　李鴻鈞　　林俊憲　　徐永明　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/09/LCEWA01_090209_00049.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/09/LCEWA01_090209_00049.doc,902,NA,LCEWA01_090209_00049,4.310344828
9,2,7,NA,1.05101E+15,「所得稅法第十七條條文修正草案」，請審議案。,本院委員蔣乃辛等16人,蔣乃辛　　陳學聖　　許毓仁　　 ,何欣純　　簡東明　　徐榛蔚　　黃昭順　　張麗善　　陳宜民　　鄭天財　　林麗蟬　　曾銘宗　　蔣萬安　　林德福　　徐志榮　　盧秀燕　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/07/LCEWA01_090207_00019.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/07/LCEWA01_090207_00019.doc,902,NA,LCEWA01_090207_00019,4.361534419
9,2,9,NA,1.05103E+15,「警察職權行使法第十條條文修正草案」，請審議案。,本院委員郭正亮等17人,郭正亮　　賴瑞隆　　 ,黃偉哲　　鍾孔炤　　黃國書　　洪宗熠　　江永昌　　蔡易餘　　邱泰源　　余宛如　　王定宇　　王榮璋　　陳其邁　　羅致政　　施義芳　　姚文智　　莊瑞雄　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/09/LCEWA01_090209_00024.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/09/LCEWA01_090209_00024.doc,902,NA,LCEWA01_090209_00024,4.827586207
9,2,10,NA,1.0511E+15,「公務員服務法第十三條條文修正草案」，請審議案。,本院委員周春米等21人,周春米　　吳琪銘　　 ,邱志偉　　劉世芳　　陳　瑩　　江永昌　　吳玉琴　　蔡易餘　　鍾孔炤　　管碧玲　　莊瑞雄　　李麗芬　　陳曼麗　　郭正亮　　尤美女　　陳素月　　張宏陸　　李俊俋　　蘇巧慧　　蕭美琴　　吳焜裕　　,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/10/LCEWA01_090210_00018.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/10/LCEWA01_090210_00018.doc,902,NA,LCEWA01_090210_00018,4.958677686
9,2,10,NA,1.05111E+15,「公路法第七十七條及第七十八條之一條文修正草案」，請審議案。,本院民進黨黨團,民主進步黨立法院黨團 柯建銘　吳秉叡　劉世芳,,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/10/LCEWA01_090210_00039.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/10/LCEWA01_090210_00039.doc,902,NA,LCEWA01_090210_00039,5.016722408
